,평균거래량,연환산수익률,연환산변동성,샤프비율,지수가중평균RAM
파미셀,1291343.8536585367,3.428226469251802,0.6609634386338765,5.186711198939369,15.196164608383311
삼양식품,92193.73170731707,2.6133867512616256,0.6023916283989943,4.338351710177898,11.572622346349592
이스타코,3695332.3902439023,7.483749346202805,1.8408027792065462,4.065481338217327,11.559237401599859
코오롱모빌리티그룹우,151468.31707317074,6.16398533845465,1.7123747286019702,3.599670817080498,11.515028234323367
오리엔트바이오,6819401.536585365,9.845141192384142,2.089439661505434,4.711857142259256,10.375264332449593
금호전기,323240.43902439025,1.6401866581385882,0.5387117905715264,3.0446459254186595,9.95263974165299
LS에코에너지,215332.82926829267,1.198973402336191,0.6152291193465017,1.9488242097671586,9.441768101185758
HD현대중공업,340921.5853658537,3.389762811765324,0.6749706004580698,5.022089568738041,9.018944762109683
일성건설,6982252.926829268,8.42305448820099,1.9304830857450916,4.3631848164833915,9.015732025331697
일진전기,968668.2195121951,0.7008869889785002,0.63298541208071,1.1072719459277716,8.206266917555796
DI동일,125596.68292682926,1.803992766066679,0.3253804583886847,5.544256637292309,8.056087874735631
흥국화재우,14974.439024390244,3.3732273944323734,0.9439698913560007,3.573448078504681,7.64295722080153
대한제강,63672.65853658537,1.3844927325664043,0.33612730122454915,4.118953526007983,7.3978664985033085
유엔젤,265869.9512195122,1.6037965190077077,0.6716112601356701,2.387983368062843,7.194681845661439
두산,163123.80487804877,2.0643104990061105,0.7131282895819783,2.8947252958036045,7.027262656262163
